	FileName	Category	Stim_Set	Object
0	00001.png	Body	FOB_FOB72	-1
1	00002.png	Body	FOB_FOB72	-1
2	00003.png	Body	FOB_FOB72	-1
3	00004.png	Body	FOB_FOB72	-1
4	00005.png	Body	FOB_FOB72	-1
5	00006.png	Body	FOB_FOB72	-1
6	00007.png	Body	FOB_FOB72	-1
7	00008.png	Body	FOB_FOB72	-1
8	00009.png	Body	FOB_FOB72	-1
9	00010.png	Body	FOB_FOB72	-1
10	00011.png	Body	FOB_FOB72	-1
11	00012.png	Body	FOB_FOB72	-1
12	00013.png	Body	FOB_FOB72	-1
13	00014.png	Body	FOB_FOB72	-1
14	00015.png	Body	FOB_FOB72	-1
15	00016.png	Body	FOB_FOB72	-1
16	00017.png	Body	FOB_FOB72	-1
17	00018.png	Body	FOB_FOB72	-1
18	00019.png	Body	FOB_FOB72	-1
19	00020.png	Body	FOB_FOB72	-1
20	00021.png	Body	FOB_FOB72	-1
21	00022.png	Body	FOB_FOB72	-1
22	00023.png	Body	FOB_FOB72	-1
23	00024.png	Body	FOB_FOB72	-1
24	00025.png	Face	FOB_FOB72	-1
25	00026.png	Face	FOB_FOB72	-1
26	00027.png	Face	FOB_FOB72	-1
27	00028.png	Face	FOB_FOB72	-1
28	00029.png	Face	FOB_FOB72	-1
29	00030.png	Face	FOB_FOB72	-1
30	00031.png	Face	FOB_FOB72	-1
31	00032.png	Face	FOB_FOB72	-1
32	00033.png	Face	FOB_FOB72	-1
33	00034.png	Face	FOB_FOB72	-1
34	00035.png	Face	FOB_FOB72	-1
35	00036.png	Face	FOB_FOB72	-1
36	00037.png	Face	FOB_FOB72	-1
37	00038.png	Face	FOB_FOB72	-1
38	00039.png	Face	FOB_FOB72	-1
39	00040.png	Face	FOB_FOB72	-1
40	00041.png	Face	FOB_FOB72	-1
41	00042.png	Face	FOB_FOB72	-1
42	00043.png	Face	FOB_FOB72	-1
43	00044.png	Face	FOB_FOB72	-1
44	00045.png	Face	FOB_FOB72	-1
45	00046.png	Face	FOB_FOB72	-1
46	00047.png	Face	FOB_FOB72	-1
47	00048.png	Face	FOB_FOB72	-1
48	00049.png	Object	FOB_FOB72	-1
49	00050.png	Object	FOB_FOB72	-1
50	00051.png	Object	FOB_FOB72	-1
51	00052.png	Object	FOB_FOB72	-1
52	00053.png	Object	FOB_FOB72	-1
53	00054.png	Object	FOB_FOB72	-1
54	00055.png	Object	FOB_FOB72	-1
55	00056.png	Object	FOB_FOB72	-1
56	00057.png	Object	FOB_FOB72	-1
57	00058.png	Object	FOB_FOB72	-1
58	00059.png	Object	FOB_FOB72	-1
59	00060.png	Object	FOB_FOB72	-1
60	00061.png	Object	FOB_FOB72	-1
61	00062.png	Object	FOB_FOB72	-1
62	00063.png	Object	FOB_FOB72	-1
63	00064.png	Object	FOB_FOB72	-1
64	00065.png	Object	FOB_FOB72	-1
65	00066.png	Object	FOB_FOB72	-1
66	00067.png	Object	FOB_FOB72	-1
67	00068.png	Object	FOB_FOB72	-1
68	00069.png	Object	FOB_FOB72	-1
69	00070.png	Object	FOB_FOB72	-1
70	00071.png	Object	FOB_FOB72	-1
71	00072.png	Object	FOB_FOB72	-1
72	10001.png	Ani_Big_LowCon	Texform_Obj	1
73	10002.png	Ani_Big_LowCon	Texform_Obj	2
74	10003.png	Ani_Big_LowCon	Texform_Obj	3
75	10004.png	Ani_Big_LowCon	Texform_Obj	4
76	10005.png	Ani_Big_LowCon	Texform_Obj	5
77	10006.png	Ani_Big_LowCon	Texform_Obj	6
78	10007.png	Ani_Big_LowCon	Texform_Obj	7
79	10008.png	Ani_Big_LowCon	Texform_Obj	8
80	10009.png	Ani_Big_LowCon	Texform_Obj	9
