	FileName	Category	Stim_Set	Object
0	10001.png	Body	FOB_DoodleLOC	-1
1	10002.png	Body	FOB_DoodleLOC	-1
2	10003.png	Body	FOB_DoodleLOC	-1
3	10004.png	Body	FOB_DoodleLOC	-1
4	10005.png	Body	FOB_DoodleLOC	-1
5	10006.png	Body	FOB_DoodleLOC	-1
6	10007.png	Body	FOB_DoodleLOC	-1
7	10008.png	Body	FOB_DoodleLOC	-1
8	10009.png	Body	FOB_DoodleLOC	-1
9	10010.png	Body	FOB_DoodleLOC	-1
10	10011.png	Body	FOB_DoodleLOC	-1
11	10012.png	Body	FOB_DoodleLOC	-1
12	10013.png	Body	FOB_DoodleLOC	-1
13	10014.png	Body	FOB_DoodleLOC	-1
14	10015.png	Body	FOB_DoodleLOC	-1
15	10016.png	Body	FOB_DoodleLOC	-1
16	10017.png	Body	FOB_DoodleLOC	-1
17	10018.png	Body	FOB_DoodleLOC	-1
18	10019.png	Body	FOB_DoodleLOC	-1
19	10020.png	Body	FOB_DoodleLOC	-1
20	10021.png	Body	FOB_DoodleLOC	-1
21	10022.png	Body	FOB_DoodleLOC	-1
22	10023.png	Body	FOB_DoodleLOC	-1
23	10024.png	Body	FOB_DoodleLOC	-1
24	10025.png	Body	FOB_DoodleLOC	-1
25	10026.png	Body	FOB_DoodleLOC	-1
26	10027.png	Body	FOB_DoodleLOC	-1
27	10028.png	Body	FOB_DoodleLOC	-1
28	10029.png	Body	FOB_DoodleLOC	-1
29	10030.png	Body	FOB_DoodleLOC	-1
30	10031.png	Face	FOB_DoodleLOC	-1
31	10032.png	Face	FOB_DoodleLOC	-1
32	10033.png	Face	FOB_DoodleLOC	-1
33	10034.png	Face	FOB_DoodleLOC	-1
34	10035.png	Face	FOB_DoodleLOC	-1
35	10036.png	Face	FOB_DoodleLOC	-1
36	10037.png	Face	FOB_DoodleLOC	-1
37	10038.png	Face	FOB_DoodleLOC	-1
38	10039.png	Face	FOB_DoodleLOC	-1
39	10040.png	Face	FOB_DoodleLOC	-1
40	10041.png	Face	FOB_DoodleLOC	-1
41	10042.png	Face	FOB_DoodleLOC	-1
42	10043.png	Face	FOB_DoodleLOC	-1
43	10044.png	Face	FOB_DoodleLOC	-1
44	10045.png	Face	FOB_DoodleLOC	-1
45	10046.png	Face	FOB_DoodleLOC	-1
46	10047.png	Face	FOB_DoodleLOC	-1
47	10048.png	Face	FOB_DoodleLOC	-1
48	10049.png	Face	FOB_DoodleLOC	-1
49	10050.png	Face	FOB_DoodleLOC	-1
50	10051.png	Face	FOB_DoodleLOC	-1
51	10052.png	Face	FOB_DoodleLOC	-1
52	10053.png	Face	FOB_DoodleLOC	-1
53	10054.png	Face	FOB_DoodleLOC	-1
54	10055.png	Face	FOB_DoodleLOC	-1
55	10056.png	Face	FOB_DoodleLOC	-1
56	10057.png	Face	FOB_DoodleLOC	-1
57	10058.png	Face	FOB_DoodleLOC	-1
58	10059.png	Face	FOB_DoodleLOC	-1
59	10060.png	Face	FOB_DoodleLOC	-1
60	10061.png	Spiky	FOB_DoodleLOC	-1
61	10062.png	Spiky	FOB_DoodleLOC	-1
62	10063.png	Spiky	FOB_DoodleLOC	-1
63	10064.png	Spiky	FOB_DoodleLOC	-1
64	10065.png	Spiky	FOB_DoodleLOC	-1
65	10066.png	Spiky	FOB_DoodleLOC	-1
66	10067.png	Spiky	FOB_DoodleLOC	-1
67	10068.png	Spiky	FOB_DoodleLOC	-1
68	10069.png	Spiky	FOB_DoodleLOC	-1
69	10070.png	Spiky	FOB_DoodleLOC	-1
70	10071.png	Spiky	FOB_DoodleLOC	-1
71	10072.png	Spiky	FOB_DoodleLOC	-1
72	10073.png	Spiky	FOB_DoodleLOC	-1
73	10074.png	Spiky	FOB_DoodleLOC	-1
74	10075.png	Spiky	FOB_DoodleLOC	-1
75	10076.png	Spiky	FOB_DoodleLOC	-1
76	10077.png	Spiky	FOB_DoodleLOC	-1
77	10078.png	Spiky	FOB_DoodleLOC	-1
