Index	Object_Name	FOB_Category	Man_made	Tool	Spikiness	Furry	Interactive_Tool	No_Interactive_Tools(Sensor)	vehicles	Clothting	Schematic	Furniture	Food
1	acorn	Food	0	0	1	0							
2	anteater	Body	0	0	3	1							
3	anvil	Object	1	1	4	0							
4	stone_arch	Object	1	0	4	0							
5	armadillo	Body	0	0	3	0							
6	avocado	Food	0	0	1	0							
7	glove	Object	1	1	2	0							
8	box	Object	1	1	2	0							
9	bat	Body	0	0	3	1							
10	bench	Object	1	1	4	0							
11	binocular	Object	1	1	3	0							
12	birdcage	Object	1	1	2	0							
13	birdhouse	Object	1	1	3	0							
14	nest	Object	0	0	2	1							
15	Zeppelin	Object	1	1	2	0							
16	blowfish	Face	0	0	1	0							
17	brain	Face	0	0	2	0							
18	yak	Body	0	0	3	1							
19	Cereus	Object	0	0	4	0							
20	outside_caliper	Object	1	1	4	0							
21	camera	Object	1	1	3	0							
22	can	Object	1	1	2	0							
23	cheese	Food	1	0	3	0							
24	chest	Object	1	1	2	0							
25	chimney	Object	1	1	3	0							
26	closet	Object	1	1	3	0							
27	cockroach	Body	0	0	4	0							
28	colander	Object	1	1	2	0							
29	compass	Object	1	1	1	0							
30	crab	Body	0	0	4	0							
31	chopping_board	Object	1	1	2	0							
32	door_handle	Object	1	1	1	0							
33	dart	Object	1	0	5	0							
34	dinosaur	Body	0	0	4	0							
35	dog_house	Object	1	1	3	0							
36	dolphin	Body	0	0	3	0							
37	dragonfly	Body	0	0	4	0							
38	dustpan	Object	1	1	2	0							
39	drawing_board	Object	1	1	4	0							
40	ribbon_fish	Body	0	0	4	0							
41	folding_fan	Object	1	1	3	0							
42	faucet	Object	1	1	3	0							
43	feather	Object	0	0	4	1							
44	fern	Object	0	0	3	0							
45	ferris_wheel	Object	1	0	2	0							
46	fire_hydrant	Object	1	1	4	0							
47	fishbowl	Object	1	0	1	0							
48	fish_hook	Object	1	1	5	0							
49	fishing_reel	Object	1	1	3	0							
50	fish_tail	Object	0	0	3	0							
51	flamingos	Body	0	0	4	1							
52	flashlight	Object	1	1	4	0							
53	funnel	Object	1	1	4	0							
54	globe	Object	1	0	2	0							
55	goggles	Object	1	1	3	0							
56	grill	Object	1	1	2	0							
57	food_bag	Food	1	0	3	0							
58	hamburger	Food	1	0	2	0							
59	hammock	Object	1	1	4	0							
60	harmonica	Object	1	0	4	0							
61	headphones	Object	1	1	3	0							
62	hippopotamus	Body	0	0	3	0							
63	plough	Object	1	1	5	0							
64	horseshoe	Object	1	1	2	0							
65	hyena	Body	0	0	3	1							
66	igloo	Object	1	0	2	0							
67	jar	Object	1	1	2	0							
68	jellyfish	Object	0	0	3	0							
69	koala¡¤	Body	0	0	3	1							
70	spoon	Object	1	1	4	0							
71	ladybug	Body	0	0	2	0							
72	sheep	Body	0	0	3	1							
73	oil_lamp	Object	1	1	2	0							
74	weeder	Object	1	1	3	0							
75	lipstick	Object	1	1	5	0							
76	lizard	Body	0	0	4	0							
77	alpaca	Body	0	0	3	0							
78	firewood	Object	1	1	3	0							
79	lung	Body	0	0	2	0							
80	sand_hammer	Object	1	0	3	0							
81	microscope	Object	1	1	3	0							
82	moose	Body	0	0	3	1							
83	net	Object	1	1	2	0							
84	octopus	Object	0	0	2	0							
85	racket	Object	1	1	2	0							
86	coconut_trees	Object	0	0	4	0							
87	panda	Body	0	0	2	1							
88	parachute	Object	1	1	3	0							
89	parrot	Body	0	0	4	1							
90	green_beans	Food	0	0	4	0							
91	pelicans	Body	0	0	3	1							
92	paint	Object	1	0	3	0							
93	bed	Object	1	1	3	0							
94	platypus	Body	0	0	4	1							
95	pretzel_bread	Food	1	0	2	0							
96	propeller	Object	1	1	4	0							
97	pyramid	Object	1	0	3	0							
98	rake	Object	1	1	5	0							
99	rat	Body	0	0	4	1							
100	stingray	Body	0	0	3	0							
101	rocket	Object	1	0	5	0							
102	rope	Object	1	1	3	0							
103	rose	Object	0	0	5	0							
104	saddle	Object	1	1	3	0							
105	strongbox	Object	1	1	3	0							
106	saxophone	Object	1	0	4	0							
107	balance	Object	1	1	3	0							
108	shovel	Object	1	1	2	0							
109	scorpion	Object	0	0	4	0							
110	shark	Body	0	0	4	0							
111	shower_head	Object	1	1	3	0							
112	skeleton	Body	0	0	3	0							
113	skull	Face	0	0	2	0							
114	spatula	Object	1	1	4	0							
115	spiderweb	Object	0	0	3	0							
116	gourd	Food	0	0	2	0							
117	starfish	Object	0	0	3	0							
118	stethoscope	Object	1	1	4	0							
119	swordfish	Body	0	0	4	0							
120	syringe	Object	1	1	5	0							
121	tambourine	Object	1	0	2	0							
122	telescope	Object	1	1	4	0							
123	temperature	Object	1	1	4	0							
124	thermos	Object	1	1	3	0							
125	tire	Object	1	0	3	0							
126	totem_pole	Object	1	0	4	0							
127	toucan	Body	0	0	4	0							
128	tractor	Object	1	1	3	0							
129	cable_car	Object	1	1	2	0							
130	turkey	Body	0	0	2	1							
131	vulture	Body	0	0	2	1							
132	walrus	Body	0	0	2	0							
133	washing_machine	Object	1	1	3	0							
134	weathercock?	Object	1	0	4	0							
135	baleen_whale	Body	0	0	3	0							
136	whip	Object	1	1	5	0							
137	wolf	Body	0	0	3	1							
138	earthworm	Object	0	0	5	0							
139	yoyo	Object	1	0	2	0							
140	zipper	Object	1	1	4	0							
141	accordion	Object	1	0	3	0							
142	airplane	Object	1	0	3	0							
143	crocodile	Body	0	0	4	0							
144	anchor	Object	1	1	3	0							
145	ant	Body	0	0	4	0							
146	apple	Food	0	0	1	0							
147	arm	Body	0	0	4	0							
148	arrow	Object	1	0	4	0							
149	hops	Food	0	0	1	0							
150	ashtray	Object	1	1	2	0							
151	asparagus	Food	0	0	5	0							
152	axes	Object	1	1	4	0							
153	baby_car	Object	1	1	3	0							
154	ball	Object	1	0	1	0							
155	balloon	Object	1	0	1	0							
156	banana	Food	0	0	4	0							
157	barn	Object	1	0	3	0							
158	barrel	Object	1	1	2	0							
159	bat	Object	1	1	5	0							
160	basket	Object	1	1	3	0							
161	bear	Body	0	0	3	1							
162	bed	Object	1	0	3	0							
163	bee	Body	0	0	4	1							
164	beetle	Body	0	0	4	0							
165	bell	Object	1	1	2	0							
166	belt	Object	1	1	4	0							
167	bicycle	Object	1	1	3	0							
168	bird	Body	0	0	3	1							
169	shirt	Object	1	1	3	0							
170	book	Object	1	0	3	0							
171	boot	Object	1	1	3	0							
172	bottle	Object	1	1	4	0							
173	bow	Object	1	0	3	0							
174	bowl	Object	1	1	2	0							
175	box	Object	1	1	3	0							
176	bread	Food	1	0	2	0							
177	broom	Object	1	1	5	0							
178	brush	Object	1	1	4	0							
179	bus	Object	1	1	4	0							
180	butterfly	Object	0	0	3	0							
181	button	Object	1	0	1	0							
182	cake	Food	1	0	2	0							
183	camel	Body	0	0	4	1							
184	candle	Object	1	1	4	0							
185	cannon	Object	1	1	3	0							
186	beret	Object	1	0	3	0							
187	car	Object	1	1	4	0							
188	carrot	Food	0	0	4	0							
189	cat	Body	0	0	3	1							
190	caterpillar	Object	0	0	5	1							
