	FileName	Category	Stim_Set	Object
0	001.png	Body	FOB_FOB72	-1
1	002.png	Body	FOB_FOB72	-1
2	003.png	Body	FOB_FOB72	-1
3	004.png	Body	FOB_FOB72	-1
4	005.png	Body	FOB_FOB72	-1
5	006.png	Body	FOB_FOB72	-1
6	007.png	Body	FOB_FOB72	-1
7	008.png	Body	FOB_FOB72	-1
8	009.png	Body	FOB_FOB72	-1
9	010.png	Body	FOB_FOB72	-1
10	011.png	Body	FOB_FOB72	-1
11	012.png	Body	FOB_FOB72	-1
12	013.png	Body	FOB_FOB72	-1
13	014.png	Body	FOB_FOB72	-1
14	015.png	Body	FOB_FOB72	-1
15	016.png	Body	FOB_FOB72	-1
16	017.png	Body	FOB_FOB72	-1
17	018.png	Body	FOB_FOB72	-1
18	019.png	Body	FOB_FOB72	-1
19	020.png	Body	FOB_FOB72	-1
20	021.png	Body	FOB_FOB72	-1
21	022.png	Body	FOB_FOB72	-1
22	023.png	Body	FOB_FOB72	-1
23	024.png	Body	FOB_FOB72	-1
24	025.png	Face	FOB_FOB72	-1
25	026.png	Face	FOB_FOB72	-1
26	027.png	Face	FOB_FOB72	-1
27	028.png	Face	FOB_FOB72	-1
28	029.png	Face	FOB_FOB72	-1
29	030.png	Face	FOB_FOB72	-1
30	031.png	Face	FOB_FOB72	-1
31	032.png	Face	FOB_FOB72	-1
32	033.png	Face	FOB_FOB72	-1
33	034.png	Face	FOB_FOB72	-1
34	035.png	Face	FOB_FOB72	-1
35	036.png	Face	FOB_FOB72	-1
36	037.png	Face	FOB_FOB72	-1
37	038.png	Face	FOB_FOB72	-1
38	039.png	Face	FOB_FOB72	-1
39	040.png	Face	FOB_FOB72	-1
40	041.png	Face	FOB_FOB72	-1
41	042.png	Face	FOB_FOB72	-1
42	043.png	Face	FOB_FOB72	-1
43	044.png	Face	FOB_FOB72	-1
44	045.png	Face	FOB_FOB72	-1
45	046.png	Face	FOB_FOB72	-1
46	047.png	Face	FOB_FOB72	-1
47	048.png	Face	FOB_FOB72	-1
48	049.png	Object	FOB_FOB72	-1
49	050.png	Object	FOB_FOB72	-1
50	051.png	Object	FOB_FOB72	-1
51	052.png	Object	FOB_FOB72	-1
52	053.png	Object	FOB_FOB72	-1
53	054.png	Object	FOB_FOB72	-1
54	055.png	Object	FOB_FOB72	-1
55	056.png	Object	FOB_FOB72	-1
56	057.png	Object	FOB_FOB72	-1
57	058.png	Object	FOB_FOB72	-1
58	059.png	Object	FOB_FOB72	-1
59	060.png	Object	FOB_FOB72	-1
60	061.png	Object	FOB_FOB72	-1
61	062.png	Object	FOB_FOB72	-1
62	063.png	Object	FOB_FOB72	-1
63	064.png	Object	FOB_FOB72	-1
64	065.png	Object	FOB_FOB72	-1
65	066.png	Object	FOB_FOB72	-1
66	067.png	Object	FOB_FOB72	-1
67	068.png	Object	FOB_FOB72	-1
68	069.png	Object	FOB_FOB72	-1
69	070.png	Object	FOB_FOB72	-1
70	071.png	Object	FOB_FOB72	-1
71	072.png	Object	FOB_FOB72	-1
72	0001.jpg	Raw_Raw_Ani	Metamer	1
73	0002.jpg	Raw_Raw_Ani	Metamer	2
74	0003.jpg	Raw_Raw_Ani	Metamer	3
75	0004.jpg	Raw_Raw_Ani	Metamer	4
76	0005.jpg	Raw_Raw_Ani	Metamer	5
77	0006.jpg	Raw_Raw_Ani	Metamer	6
78	0007.jpg	Raw_Raw_Ani	Metamer	7
79	0008.jpg	Raw_Raw_Ani	Metamer	8
80	0009.jpg	Raw_Raw_Ani	Metamer	9
81	0010.jpg	Raw_Raw_Ani	Metamer	10
82	0011.jpg	Raw_Raw_Ani	Metamer	11
83	0012.jpg	Raw_Raw_Ani	Metamer	12
84	0013.jpg	Raw_Raw_Ani	Metamer	13
85	0014.jpg	Raw_Raw_Ani	Metamer	14
86	0015.jpg	Raw_Raw_Ani	Metamer	15
87	0016.jpg	Raw_Raw_Ani	Metamer	16
88	0017.jpg	Raw_Raw_Ani	Metamer	17
89	0018.jpg	Raw_Raw_Ani	Metamer	18
90	0019.jpg	Raw_Raw_Ani	Metamer	19
91	0020.jpg	Raw_Raw_Ani	Metamer	20
92	0021.jpg	Raw_Raw_Inani	Metamer	21
93	0022.jpg	Raw_Raw_Inani	Metamer	22
94	0023.jpg	Raw_Raw_Inani	Metamer	23
95	0024.jpg	Raw_Raw_Inani	Metamer	24
96	0025.jpg	Raw_Raw_Inani	Metamer	25
97	0026.jpg	Raw_Raw_Inani	Metamer	26
98	0027.jpg	Raw_Raw_Inani	Metamer	27
99	0028.jpg	Raw_Raw_Inani	Metamer	28
100	0029.jpg	Raw_Raw_Inani	Metamer	29
101	0030.jpg	Raw_Raw_Inani	Metamer	30
102	0031.jpg	Raw_Raw_Inani	Metamer	31
103	0032.jpg	Raw_Raw_Inani	Metamer	32
104	0033.jpg	Raw_Raw_Inani	Metamer	33
105	0034.jpg	Raw_Raw_Inani	Metamer	34
106	0035.jpg	Raw_Raw_Inani	Metamer	35
107	0036.jpg	Raw_Raw_Inani	Metamer	36
108	0037.jpg	Raw_Raw_Inani	Metamer	37
109	0038.jpg	Raw_Raw_Inani	Metamer	38
110	0039.jpg	Raw_Raw_Inani	Metamer	39
111	0040.jpg	Raw_Raw_Inani	Metamer	40
112	0041.jpg	P4_C4_Ani	Metamer	1
113	0042.jpg	P4_C4_Ani	Metamer	2
114	0043.jpg	P4_C4_Ani	Metamer	3
115	0044.jpg	P4_C4_Ani	Metamer	4
116	0045.jpg	P4_C4_Ani	Metamer	5
117	0046.jpg	P4_C4_Ani	Metamer	6
118	0047.jpg	P4_C4_Ani	Metamer	7
119	0048.jpg	P4_C4_Ani	Metamer	8
120	0049.jpg	P4_C4_Ani	Metamer	9
121	0050.jpg	P4_C4_Ani	Metamer	10
122	0051.jpg	P4_C4_Ani	Metamer	11
123	0052.jpg	P4_C4_Ani	Metamer	12
124	0053.jpg	P4_C4_Ani	Metamer	13
125	0054.jpg	P4_C4_Ani	Metamer	14
126	0055.jpg	P4_C4_Ani	Metamer	15
127	0056.jpg	P4_C4_Ani	Metamer	16
128	0057.jpg	P4_C4_Ani	Metamer	17
129	0058.jpg	P4_C4_Ani	Metamer	18
130	0059.jpg	P4_C4_Ani	Metamer	19
131	0060.jpg	P4_C4_Ani	Metamer	20
132	0061.jpg	P4_C4_Inani	Metamer	21
133	0062.jpg	P4_C4_Inani	Metamer	22
134	0063.jpg	P4_C4_Inani	Metamer	23
135	0064.jpg	P4_C4_Inani	Metamer	24
136	0065.jpg	P4_C4_Inani	Metamer	25
137	0066.jpg	P4_C4_Inani	Metamer	26
138	0067.jpg	P4_C4_Inani	Metamer	27
139	0068.jpg	P4_C4_Inani	Metamer	28
140	0069.jpg	P4_C4_Inani	Metamer	29
141	0070.jpg	P4_C4_Inani	Metamer	30
142	0071.jpg	P4_C4_Inani	Metamer	31
143	0072.jpg	P4_C4_Inani	Metamer	32
144	0073.jpg	P4_C4_Inani	Metamer	33
145	0074.jpg	P4_C4_Inani	Metamer	34
146	0075.jpg	P4_C4_Inani	Metamer	35
147	0076.jpg	P4_C4_Inani	Metamer	36
148	0077.jpg	P4_C4_Inani	Metamer	37
149	0078.jpg	P4_C4_Inani	Metamer	38
150	0079.jpg	P4_C4_Inani	Metamer	39
151	0080.jpg	P4_C4_Inani	Metamer	40
152	0081.jpg	P4_C3_Ani	Metamer	1
153	0082.jpg	P4_C3_Ani	Metamer	2
154	0083.jpg	P4_C3_Ani	Metamer	3
155	0084.jpg	P4_C3_Ani	Metamer	4
