	FileName	Category	Stim_Set	Object
0	00001.jpg	Body	FOB_FOB72	-1
1	00002.jpg	Body	FOB_FOB72	-1
2	00003.jpg	Body	FOB_FOB72	-1
3	00004.jpg	Body	FOB_FOB72	-1
4	00005.jpg	Body	FOB_FOB72	-1
5	00006.jpg	Body	FOB_FOB72	-1
6	00007.jpg	Body	FOB_FOB72	-1
7	00008.jpg	Body	FOB_FOB72	-1
8	00009.jpg	Body	FOB_FOB72	-1
9	00010.jpg	Body	FOB_FOB72	-1
10	00011.jpg	Body	FOB_FOB72	-1
11	00012.jpg	Body	FOB_FOB72	-1
12	00013.jpg	Body	FOB_FOB72	-1
13	00014.jpg	Body	FOB_FOB72	-1
14	00015.jpg	Body	FOB_FOB72	-1
15	00016.jpg	Body	FOB_FOB72	-1
16	00017.jpg	Body	FOB_FOB72	-1
17	00018.jpg	Body	FOB_FOB72	-1
18	00019.jpg	Body	FOB_FOB72	-1
19	00020.jpg	Body	FOB_FOB72	-1
20	00021.jpg	Body	FOB_FOB72	-1
21	00022.jpg	Body	FOB_FOB72	-1
22	00023.jpg	Body	FOB_FOB72	-1
23	00024.jpg	Body	FOB_FOB72	-1
24	00025.jpg	Face	FOB_FOB72	-1
25	00026.jpg	Face	FOB_FOB72	-1
26	00027.jpg	Face	FOB_FOB72	-1
27	00028.jpg	Face	FOB_FOB72	-1
28	00029.jpg	Face	FOB_FOB72	-1
29	00030.jpg	Face	FOB_FOB72	-1
30	00031.jpg	Face	FOB_FOB72	-1
31	00032.jpg	Face	FOB_FOB72	-1
32	00033.jpg	Face	FOB_FOB72	-1
33	00034.jpg	Face	FOB_FOB72	-1
34	00035.jpg	Face	FOB_FOB72	-1
35	00036.jpg	Face	FOB_FOB72	-1
36	00037.jpg	Face	FOB_FOB72	-1
37	00038.jpg	Face	FOB_FOB72	-1
38	00039.jpg	Face	FOB_FOB72	-1
39	00040.jpg	Face	FOB_FOB72	-1
40	00041.jpg	Face	FOB_FOB72	-1
41	00042.jpg	Face	FOB_FOB72	-1
42	00043.jpg	Face	FOB_FOB72	-1
43	00044.jpg	Face	FOB_FOB72	-1
44	00045.jpg	Face	FOB_FOB72	-1
45	00046.jpg	Face	FOB_FOB72	-1
46	00047.jpg	Face	FOB_FOB72	-1
47	00048.jpg	Face	FOB_FOB72	-1
48	00049.jpg	Object	FOB_FOB72	-1
49	00050.jpg	Object	FOB_FOB72	-1
50	00051.jpg	Object	FOB_FOB72	-1
51	00052.jpg	Object	FOB_FOB72	-1
52	00053.jpg	Object	FOB_FOB72	-1
53	00054.jpg	Object	FOB_FOB72	-1
54	00055.jpg	Object	FOB_FOB72	-1
55	00056.jpg	Object	FOB_FOB72	-1
56	00057.jpg	Object	FOB_FOB72	-1
57	00058.jpg	Object	FOB_FOB72	-1
58	00059.jpg	Object	FOB_FOB72	-1
59	00060.jpg	Object	FOB_FOB72	-1
60	00061.jpg	Object	FOB_FOB72	-1
61	00062.jpg	Object	FOB_FOB72	-1
62	00063.jpg	Object	FOB_FOB72	-1
63	00064.jpg	Object	FOB_FOB72	-1
64	00065.jpg	Object	FOB_FOB72	-1
65	00066.jpg	Object	FOB_FOB72	-1
66	00067.jpg	Object	FOB_FOB72	-1
67	00068.jpg	Object	FOB_FOB72	-1
68	00069.jpg	Object	FOB_FOB72	-1
69	00070.jpg	Object	FOB_FOB72	-1
