	FileName	Category	Stim_Set	Object
0	0001.bmp	NSD	NSD_1k	1
1	0002.bmp	NSD	NSD_1k	2
2	0003.bmp	NSD	NSD_1k	3
3	0004.bmp	NSD	NSD_1k	4
4	0005.bmp	NSD	NSD_1k	5
5	0006.bmp	NSD	NSD_1k	6
6	0007.bmp	NSD	NSD_1k	7
7	0008.bmp	NSD	NSD_1k	8
8	0009.bmp	NSD	NSD_1k	9
9	0010.bmp	NSD	NSD_1k	10
10	0011.bmp	NSD	NSD_1k	11
11	0012.bmp	NSD	NSD_1k	12
12	0013.bmp	NSD	NSD_1k	13
13	0014.bmp	NSD	NSD_1k	14
14	0015.bmp	NSD	NSD_1k	15
15	0016.bmp	NSD	NSD_1k	16
16	0017.bmp	NSD	NSD_1k	17
17	0018.bmp	NSD	NSD_1k	18
18	0019.bmp	NSD	NSD_1k	19
19	0020.bmp	NSD	NSD_1k	20
20	0021.bmp	NSD	NSD_1k	21
21	0022.bmp	NSD	NSD_1k	22
22	0023.bmp	NSD	NSD_1k	23
23	0024.bmp	NSD	NSD_1k	24
24	0025.bmp	NSD	NSD_1k	25
25	0026.bmp	NSD	NSD_1k	26
26	0027.bmp	NSD	NSD_1k	27
27	0028.bmp	NSD	NSD_1k	28
28	0029.bmp	NSD	NSD_1k	29
29	0030.bmp	NSD	NSD_1k	30
30	0031.bmp	NSD	NSD_1k	31
31	0032.bmp	NSD	NSD_1k	32
32	0033.bmp	NSD	NSD_1k	33
33	0034.bmp	NSD	NSD_1k	34
34	0035.bmp	NSD	NSD_1k	35
35	0036.bmp	NSD	NSD_1k	36
36	0037.bmp	NSD	NSD_1k	37
37	0038.bmp	NSD	NSD_1k	38
38	0039.bmp	NSD	NSD_1k	39
39	0040.bmp	NSD	NSD_1k	40
40	0041.bmp	NSD	NSD_1k	41
41	0042.bmp	NSD	NSD_1k	42
42	0043.bmp	NSD	NSD_1k	43
43	0044.bmp	NSD	NSD_1k	44
44	0045.bmp	NSD	NSD_1k	45
45	0046.bmp	NSD	NSD_1k	46
46	0047.bmp	NSD	NSD_1k	47
47	0048.bmp	NSD	NSD_1k	48
48	0049.bmp	NSD	NSD_1k	49
49	0050.bmp	NSD	NSD_1k	50
50	0051.bmp	NSD	NSD_1k	51
51	0052.bmp	NSD	NSD_1k	52
52	0053.bmp	NSD	NSD_1k	53
53	0054.bmp	NSD	NSD_1k	54
54	0055.bmp	NSD	NSD_1k	55
55	0056.bmp	NSD	NSD_1k	56
56	0057.bmp	NSD	NSD_1k	57
57	0058.bmp	NSD	NSD_1k	58
58	0059.bmp	NSD	NSD_1k	59
59	0060.bmp	NSD	NSD_1k	60
