,Category
0,Face
1,Face
2,Face
3,Face
4,Face
5,Face
6,Face
7,Face
8,Face
9,Face
10,Face
11,Face
12,Face
13,Face
14,Face
15,Body
16,Body
17,Body
18,Body
19,Body
20,Body
21,Body
22,Body
23,Body
24,Body
25,Body
26,Body
27,Body
28,Body
29,Body
30,Scene
31,Scene
32,Scene
33,Scene
34,Scene
35,Scene
36,Scene
37,Scene
38,Scene
39,Scene
40,Scene
41,Scene
42,Scene
43,Scene
44,Scene
45,Object
46,Object
47,Object
48,Object
49,Object
50,Object
51,Object
52,Object
53,Object
54,Object
55,Object
56,Object
57,Object
58,Object
59,Object
60,Food
61,Food
62,Food
63,Food
64,Food
65,Food
66,Food
67,Food
68,Food
69,Food
70,Food
71,Food
72,Food
73,Food
74,Food
75,Face
76,Face
77,Face
78,Face
79,Face
80,Face
81,Face
82,Face
83,Face
84,Face
85,Face
86,Face
87,Face
88,Face
89,Face
90,Body
91,Body
92,Body
93,Body
94,Body
95,Body
96,Body
97,Body
98,Body
99,Body
100,Body
101,Body
102,Body
103,Body
104,Body
105,Scene
106,Scene
107,Scene
108,Scene
109,Scene
110,Scene
111,Scene
112,Scene
113,Scene
114,Scene
115,Scene
116,Scene
117,Scene
118,Scene
119,Scene
120,Object
121,Object
122,Object
123,Object
124,Object
125,Object
126,Object
127,Object
128,Object
129,Object
130,Object
131,Object
132,Object
133,Object
134,Object
135,Food
136,Food
137,Food
138,Food
139,Food
140,Food
141,Food
142,Food
143,Food
144,Food
145,Food
146,Food
147,Food
148,Food
149,Food
