,Constrain,Graph,Prop_Correct,Network
0,4,0,0.34191224,Alexnet
1,4,0,0.33877805,VGG16
2,4,0,0.3441852,Resnet50
3,4,0,0.33445126,Alexnet
4,4,0,0.33175102,VGG16
5,4,0,0.33604047,Resnet50
6,4,0,0.34084582,Alexnet
7,4,0,0.34035432,VGG16
8,4,0,0.34514982,Resnet50
9,4,0,0.33447888,Alexnet
10,4,0,0.33420095,VGG16
11,4,0,0.33422038,Resnet50
12,4,0,0.33519778,Alexnet
13,4,0,0.33134398,VGG16
14,4,0,0.338631,Resnet50
15,4,0,0.3424937,Alexnet
16,4,0,0.33761835,VGG16
17,4,0,0.34392413,Resnet50
18,4,0,0.33436614,Alexnet
19,4,0,0.33096176,VGG16
20,4,0,0.33668113,Resnet50
21,4,0,0.33929586,Alexnet
22,4,0,0.33358464,VGG16
23,4,0,0.340474,Resnet50
24,4,0,0.35757628,Alexnet
25,4,0,0.34566543,VGG16
26,4,0,0.35354403,Resnet50
27,4,0,0.33985302,Alexnet
28,4,0,0.33563086,VGG16
29,4,0,0.33875832,Resnet50
30,4,1,0.34244943,Alexnet
31,4,1,0.3369972,VGG16
32,4,1,0.34277305,Resnet50
33,4,1,0.3416376,Alexnet
34,4,1,0.3349746,VGG16
35,4,1,0.3440324,Resnet50
36,4,1,0.34308589,Alexnet
37,4,1,0.33729297,VGG16
38,4,1,0.34076887,Resnet50
39,4,1,0.33506346,Alexnet
40,4,1,0.33356678,VGG16
41,4,1,0.34018087,Resnet50
42,4,1,0.3438196,Alexnet
43,4,1,0.3366065,VGG16
44,4,1,0.34317538,Resnet50
45,4,1,0.34479952,Alexnet
46,4,1,0.33735117,VGG16
47,4,1,0.34139463,Resnet50
48,4,1,0.33722618,Alexnet
49,4,1,0.33425343,VGG16
50,4,1,0.33839193,Resnet50
51,4,1,0.3452086,Alexnet
52,4,1,0.33507767,VGG16
53,4,1,0.34187287,Resnet50
54,4,1,0.33664247,Alexnet
55,4,1,0.333766,VGG16
56,4,1,0.33761024,Resnet50
57,4,1,0.33726555,Alexnet
58,4,1,0.33319736,VGG16
59,4,1,0.33630487,Resnet50
60,4,2,0.33810148,Alexnet
61,4,2,0.33554423,VGG16
62,4,2,0.3424331,Resnet50
63,4,2,0.3431056,Alexnet
64,4,2,0.33615214,VGG16
65,4,2,0.34172887,Resnet50
66,4,2,0.34198016,Alexnet
67,4,2,0.33580083,VGG16
68,4,2,0.34211096,Resnet50
69,4,2,0.3404362,Alexnet
70,4,2,0.33547363,VGG16
71,4,2,0.33847153,Resnet50
72,4,2,0.34034654,Alexnet
73,4,2,0.3360721,VGG16
74,4,2,0.33997145,Resnet50
75,4,2,0.3378759,Alexnet
76,4,2,0.33536935,VGG16
77,4,2,0.34124357,Resnet50
78,4,2,0.33925918,Alexnet
79,4,2,0.33666155,VGG16
80,4,2,0.34393954,Resnet50
81,4,2,0.34151486,Alexnet
82,4,2,0.3363706,VGG16
83,4,2,0.34033933,Resnet50
84,4,2,0.3440219,Alexnet
85,4,2,0.33478257,VGG16
86,4,2,0.34136006,Resnet50
