,Constrain,Graph,Prop_Correct,Network
0,4,0,0.34058613,Alexnet
1,4,0,0.34026507,VGG16
2,4,0,0.3428339,Resnet50
3,4,0,0.3392712,Alexnet
4,4,0,0.3383634,VGG16
5,4,0,0.33710876,Resnet50
6,4,0,0.33965805,Alexnet
7,4,0,0.34119183,VGG16
8,4,0,0.3403334,Resnet50
9,4,0,0.3392111,Alexnet
10,4,0,0.3412952,VGG16
11,4,0,0.33815587,Resnet50
12,4,0,0.3433825,Alexnet
13,4,0,0.33713076,VGG16
14,4,0,0.33693567,Resnet50
15,4,0,0.34149653,Alexnet
16,4,0,0.34117982,VGG16
17,4,0,0.34217334,Resnet50
18,4,0,0.34357348,Alexnet
19,4,0,0.34022602,VGG16
20,4,0,0.3396062,Resnet50
21,4,0,0.3418661,Alexnet
22,4,0,0.33840674,VGG16
23,4,0,0.34025222,Resnet50
24,4,0,0.34769264,Alexnet
25,4,0,0.34055167,VGG16
26,4,0,0.3434603,Resnet50
27,4,0,0.34075445,Alexnet
28,4,0,0.34033898,VGG16
29,4,0,0.34195897,Resnet50
30,4,1,0.3519248,Alexnet
31,4,1,0.3387502,VGG16
32,4,1,0.34413138,Resnet50
33,4,1,0.3518843,Alexnet
34,4,1,0.3382885,VGG16
35,4,1,0.34460327,Resnet50
36,4,1,0.34958434,Alexnet
37,4,1,0.3449559,VGG16
38,4,1,0.3435084,Resnet50
39,4,1,0.35371703,Alexnet
40,4,1,0.34333625,VGG16
41,4,1,0.3401817,Resnet50
42,4,1,0.35358518,Alexnet
43,4,1,0.33737162,VGG16
44,4,1,0.3444661,Resnet50
45,4,1,0.35100347,Alexnet
46,4,1,0.33810422,VGG16
47,4,1,0.34397617,Resnet50
48,4,1,0.3521072,Alexnet
49,4,1,0.33714774,VGG16
50,4,1,0.34121856,Resnet50
51,4,1,0.35159492,Alexnet
52,4,1,0.3381179,VGG16
53,4,1,0.34380877,Resnet50
54,4,1,0.35349837,Alexnet
55,4,1,0.3380806,VGG16
56,4,1,0.34102595,Resnet50
57,4,1,0.3502898,Alexnet
58,4,1,0.34177488,VGG16
59,4,1,0.33983538,Resnet50
60,4,2,0.3388619,Alexnet
61,4,2,0.33536503,VGG16
62,4,2,0.3376833,Resnet50
63,4,2,0.3388279,Alexnet
64,4,2,0.33418205,VGG16
65,4,2,0.33841985,Resnet50
66,4,2,0.3384661,Alexnet
67,4,2,0.3350633,VGG16
68,4,2,0.34044358,Resnet50
69,4,2,0.33984172,Alexnet
70,4,2,0.33498657,VGG16
71,4,2,0.33767998,Resnet50
72,4,2,0.3397931,Alexnet
73,4,2,0.33565134,VGG16
74,4,2,0.33839002,Resnet50
75,4,2,0.339104,Alexnet
76,4,2,0.33476305,VGG16
77,4,2,0.33841226,Resnet50
78,4,2,0.3404288,Alexnet
79,4,2,0.33574438,VGG16
80,4,2,0.34156588,Resnet50
81,4,2,0.3383515,Alexnet
82,4,2,0.33520105,VGG16
83,4,2,0.34089088,Resnet50
84,4,2,0.3400967,Alexnet
85,4,2,0.3350538,VGG16
86,4,2,0.34124875,Resnet50
87,4,2,0.33949846,Alexnet
88,4,2,0.33412963,VGG16
89,4,2,0.34036434,Resnet50
90,4,3,0.34534463,Alexnet
91,4,3,0.33939913,VGG16
92,4,3,0.34325284,Resnet50
93,4,3,0.34392902,Alexnet
94,4,3,0.33712608,VGG16
95,4,3,0.34211835,Resnet50
96,4,3,0.34392536,Alexnet
97,4,3,0.33835477,VGG16
98,4,3,0.34258893,Resnet50
99,4,3,0.3440628,Alexnet
100,4,3,0.3395186,VGG16
101,4,3,0.34223738,Resnet50
102,4,3,0.3436814,Alexnet
103,4,3,0.33804864,VGG16
104,4,3,0.34506327,Resnet50
105,4,3,0.3438626,Alexnet
106,4,3,0.33919713,VGG16
107,4,3,0.3442453,Resnet50
108,4,3,0.3443997,Alexnet
109,4,3,0.33832103,VGG16
110,4,3,0.3448274,Resnet50
111,4,3,0.34249577,Alexnet
112,4,3,0.3367648,VGG16
113,4,3,0.339573,Resnet50
114,4,3,0.34312057,Alexnet
115,4,3,0.3365828,VGG16
116,4,3,0.34296575,Resnet50
117,4,3,0.34324095,Alexnet
118,4,3,0.33797002,VGG16
119,4,3,0.34308487,Resnet50
120,4,4,0.35008246,Alexnet
121,4,4,0.3488307,VGG16
122,4,4,0.3456219,Resnet50
123,4,4,0.34965885,Alexnet
124,4,4,0.34543294,VGG16
125,4,4,0.34685385,Resnet50
126,4,4,0.3495698,Alexnet
127,4,4,0.33761665,VGG16
128,4,4,0.34415323,Resnet50
129,4,4,0.3498987,Alexnet
130,4,4,0.34789383,VGG16
131,4,4,0.35032398,Resnet50
132,4,4,0.35214168,Alexnet
133,4,4,0.34697336,VGG16
134,4,4,0.3488118,Resnet50
135,4,4,0.3518689,Alexnet
136,4,4,0.33819216,VGG16
