,Category
0,Body
1,Body
2,Body
3,Body
4,Body
5,Body
6,Body
7,Body
8,Body
9,Body
10,Body
11,Body
12,Body
13,Body
14,Body
15,Body
16,Body
17,Body
18,Body
19,Body
20,Body
21,Body
22,Body
23,Body
24,Face
25,Face
26,Face
27,Face
28,Face
29,Face
30,Face
31,Face
32,Face
33,Face
34,Face
35,Face
36,Face
37,Face
38,Face
39,Face
40,Face
41,Face
42,Face
43,Face
44,Face
45,Face
46,Face
47,Face
48,Object
49,Object
50,Object
51,Object
52,Object
53,Object
54,Object
55,Object
56,Object
57,Object
58,Object
59,Object
60,Object
61,Object
62,Object
63,Object
64,Object
65,Object
66,Object
67,Object
68,Object
69,Object
70,Object
71,Object
