Index	FileName	Category	FOB
1	0001.png	MetamerP4	Raw_Ani
2	0002.png	MetamerP4	Raw_Ani
3	0003.png	MetamerP4	Raw_Ani
4	0004.png	MetamerP4	Raw_Ani
5	0005.png	MetamerP4	Raw_Ani
6	0006.png	MetamerP4	Raw_Ani
7	0007.png	MetamerP4	Raw_Ani
8	0008.png	MetamerP4	Raw_Ani
9	0009.png	MetamerP4	Raw_Ani
10	0010.png	MetamerP4	Raw_Ani
11	0011.png	MetamerP4	Raw_Ani
12	0012.png	MetamerP4	Raw_Ani
13	0013.png	MetamerP4	Raw_Ani
14	0014.png	MetamerP4	Raw_Ani
15	0015.png	MetamerP4	Raw_Ani
16	0016.png	MetamerP4	Raw_Ani
17	0017.png	MetamerP4	Raw_Ani
18	0018.png	MetamerP4	Raw_Ani
19	0019.png	MetamerP4	Raw_Ani
20	0020.png	MetamerP4	Raw_Ani
21	0021.png	MetamerP4	Raw_Inani
22	0022.png	MetamerP4	Raw_Inani
23	0023.png	MetamerP4	Raw_Inani
24	0024.png	MetamerP4	Raw_Inani
25	0025.png	MetamerP4	Raw_Inani
26	0026.png	MetamerP4	Raw_Inani
27	0027.png	MetamerP4	Raw_Inani
28	0028.png	MetamerP4	Raw_Inani
29	0029.png	MetamerP4	Raw_Inani
30	0030.png	MetamerP4	Raw_Inani
31	0031.png	MetamerP4	Raw_Inani
32	0032.png	MetamerP4	Raw_Inani
33	0033.png	MetamerP4	Raw_Inani
34	0034.png	MetamerP4	Raw_Inani
35	0035.png	MetamerP4	Raw_Inani
36	0036.png	MetamerP4	Raw_Inani
37	0037.png	MetamerP4	Raw_Inani
38	0038.png	MetamerP4	Raw_Inani
39	0039.png	MetamerP4	Raw_Inani
40	0040.png	MetamerP4	Raw_Inani
41	0041.png	MetamerP4	P4C4_Ani
42	0042.png	MetamerP4	P4C4_Ani
43	0043.png	MetamerP4	P4C4_Ani
44	0044.png	MetamerP4	P4C4_Ani
45	0045.png	MetamerP4	P4C4_Ani
46	0046.png	MetamerP4	P4C4_Ani
47	0047.png	MetamerP4	P4C4_Ani
48	0048.png	MetamerP4	P4C4_Ani
49	0049.png	MetamerP4	P4C4_Ani
50	0050.png	MetamerP4	P4C4_Ani
51	0051.png	MetamerP4	P4C4_Ani
52	0052.png	MetamerP4	P4C4_Ani
53	0053.png	MetamerP4	P4C4_Ani
54	0054.png	MetamerP4	P4C4_Ani
55	0055.png	MetamerP4	P4C4_Ani
56	0056.png	MetamerP4	P4C4_Ani
57	0057.png	MetamerP4	P4C4_Ani
58	0058.png	MetamerP4	P4C4_Ani
59	0059.png	MetamerP4	P4C4_Ani
60	0060.png	MetamerP4	P4C4_Ani
61	0061.png	MetamerP4	P4C4_Inani
62	0062.png	MetamerP4	P4C4_Inani
63	0063.png	MetamerP4	P4C4_Inani
64	0064.png	MetamerP4	P4C4_Inani
65	0065.png	MetamerP4	P4C4_Inani
66	0066.png	MetamerP4	P4C4_Inani
67	0067.png	MetamerP4	P4C4_Inani
68	0068.png	MetamerP4	P4C4_Inani
